transaction_id,account_id,customer_id,customer_name,email,phone,transaction_date,amount,transaction_type,currency,merchant,merchant_category,balance,credit_limit,fraud_flag,status,card_number,routing_number,last_updated
TXN-00000011,ACC-9774395,CUST-94354,Devin Wallace,ashleyfisher@example.org,273.208.7240x364,2022-03-03,12109.3,Credit,CAD,Oneal Inc,Entertainment,4538.3,92911.43,0,Reversed,1115758273571600,227154328,2020-04-06
TXN-00000012,ACC-3461797,CUST-87264,Carmen Moses,albert46@example.net,365.417.2775x329,2023-02-10,6820.5,Debit,JPY,Mccarthy-Hawkins,Travel,6163.74,48623.72,0,Failed,9378815459778440,149628534,2021-05-11
TXN-00000013,ACC-8721573,CUST-76982,James Fitzgerald,gcarter@example.com,001-430-601-5903,2023-06-11,10707.86,Refund,CAD,Barnes Inc,Travel,1734.06,49592.15,0,Failed,6805830812178976,574872187,2021-04-28
TXN-00000014,ACC-4657775,CUST-23126,Cynthia Silva,susanhunter@example.com,264.845.6630,2021-10-23,11096.16,Transfer,GBP,"Watts, Fuller and Morris",Grocery,38180.08,84146.57,0,Reversed,1536685630802533,663497143,2022-09-06
TXN-00000015,ACC-9666745,CUST-45893,Erik Brown,kerri40@example.com,(244)465-1571x79230,2023-12-26,9268.2,Transfer,GBP,Roach-Brooks,Healthcare,33612.84,74175.92,0,Pending,2714225061012046,431323196,2024-12-23
TXN-00000016,ACC-2718032,CUST-29973,Christina Gibbs,rhondaadams@example.com,650-674-2982x80379,2021-04-09,7251.22,Transfer,USD,Day-Garcia,Dining,2096.02,92054.88,0,Reversed,2865631374479746,746113933,2020-06-01
TXN-00000017,ACC-8555354,CUST-90990,Anthony Brown,ryan97@example.com,+1-803-864-9644x221,2022-07-03,11154.95,Fee,USD,Long PLC,Travel,28930.36,44353.15,0,Failed,6851798593945782,382828526,2022-04-23
TXN-00000018,ACC-4890678,CUST-65477,Kelly Flynn,,001-934-485-9635,2024-01-26,14644.91,Refund,GBP,Jones Ltd,Retail,28512.5,30051.0,0,Pending,3207623188604582,914307019,2022-10-18
TXN-00000019,ACC-9358735,CUST-57979,Steven Gonzalez,stewartkiara@example.net,(205)279-4815x7581,2022-07-16,7590.73,Debit,CAD,Rice-Robbins,Entertainment,10019.79,12783.5,0,PENDING,2711934074474414,863076502,2020-03-18
TXN-00000020,ACC-7178860,CUST-96755,Jacob Parker,bryan45@example.com,279.584.8002,2026-10-26,$2051.01,Debit,EUR,Anderson Group,Entertainment,41408.25,33811.25,0,Completed,7158710821306684,773052297,2024-02-22
TXN-00000021,ACC-7527363,CUST-13141,William Snyder,ramosalexandra@example.net,(917)583-2250x9155,2022-08-13,3814.72,Debit,GBP,Morgan and Sons,Dining,11995.67,43853.18,0,Failed,7369389430046658,897801414,2023-07-18
TXN-00000022,ACC-9171446,CUST-45092,Todd Lopez,richardjohnson@example.com,(342)469-8832x099,2024-02-26,8584.74,Fee,USD,Brown Group,Retail,27010.85,65379.87,0,Completed,6516121536473712,182594982,2022-11-17
TXN-00000023,ACC-5809679,CUST-22960,Daniel Tran,ballchristian@example.net,556-672-7857x302,2021-04-11,9966.23,Transfer,GBP,"Russell, Wright and Graves",Online,19926.72,55629.33,0,Completed,5180433289768368,409024558,2020-02-22
TXN-00000024,ACC-3103442,CUST-80256,Karen Ramos,phillip33@example.net,001-509-421-3701,2022-04-09,11039.29,Transfer,EUR,Day-Garcia,Grocery,5987.3,81226.13,0,Reversed,6699148472994066,225171515,2023-02-16
TXN-00000025,ACC-3065514,CUST-88614,Mr. Timothy Lee,kimkeith@example.net,743.241.8815x7651,2024-03-08,13360.43,Refund,JPY,"Wright, Marsh and Huffman",Dining,20488.61,45789.57,0,Completed,3286613574574940,398376580,2020-12-22
TXN-00000026,,CUST-27516,Jorge Dougherty,cathy21@example.net,715-617-6386x1890,2026-06-02,12169.71,Debit,GBP,Hansen LLC,Grocery,46046.83,14308.3,0,Pending,8171793646167897,624224538,2022-01-03
TXN-00000027,ACC-8588997,CUST-90513,Lydia Walker,leetiffany@example.org,(855)299-5397x205,2020-05-27,9258.15,Transfer,EUR,"Watts, Fuller and Morris",Healthcare,315.34,47960.95,0,Reversed,2970549458131440,762263984,2020-12-02
TXN-00000028,ACC-8682643,CUST-49851,Jason Goodwin,,(959)373-9670,2024-10-09,3169.73,Refund,GBP,Brown Group,Healthcare,38731.64,35695.72,0,Reversed,1860280272875035,625721452,2024-03-19
TXN-00000029,ACC-6984503,CUST-94259,Michael Johnson,paulchristopher@example.org,+1-603-722-3235x4337,2022-02-20,1924.05,Fee,GBP,Jacobs Inc,Entertainment,10518.36,57193.55,0,Reversed,8187715453042518,420652120,2023-05-29
TXN-00000030,ACC-6425355,CUST-10325,Jeffrey Mathis,ijohnson@example.com,441.421.6382x4596,2021-01-01,675.2,Transfer,GBP,"Wells, Anderson and Robinson",Travel,10424.76,85973.18,0,Failed,5191754288823304,293883347,2022-12-28
TXN-00000031,ACC-8865527,CUST-41614,Cristina Oliver,sthomas@example.net,339-260-9960x793,2021-04-23,13659.12,Credit,GBP,"Warren, Rose and Bell",Healthcare,11049.04,1078.57,0,Completed,7124890057904243,259790935,2022-01-02
TXN-00000032,ACC-8683770,CUST-78941,Brendan Soto,djones@example.net,765-535-9851,2022-11-24,1392.38,Refund,CAD,Logan-White,Travel,12666.08,78385.1,0,Pending,1132574312286279,406461916,2021-05-14
TXN-00000033,ACC-9620683,CUST-35469,Brittney Espinoza,angelavaldez@example.org,824-695-0152x800,2020-04-16,6612.46,Fee,GBP,Johnson LLC,Grocery,32356.89,43067.66,0,Completed,9780887149842405,435028764,2021-02-26
TXN-00000034,ACC-5197166,CUST-39994,Tammy Martinez,sean79@example.net,824.569.6492,2022-06-06,8734.67,Refund,CAD,"Wright, Marsh and Huffman",Entertainment,15890.91,93893.55,0,Completed,8960998622719991,589741809,2020-07-18
TXN-00000035,ACC-6370110,CUST-65475,Lisa Hart,ghicks@example.org,001-666-499-3005x476,2021-09-08,680.54,Debit,GBP,Williams-Spence,Online,33405.09,63455.32,0,Reversed,9977103733398009,982581569,2023-03-30
TXN-00000036,ACC-2209670,CUST-58796,Lisa Parker,marydavis@example.net,325.951.2669,2021-06-23,$0.0,Debit,EUR,"Salazar, Henderson and Price",Dining,11841.75,81054.92,0,Completed,4025419818884031,639235838,2022-06-03
TXN-00000037,ACC-6622669,CUST-12472,Catherine Gonzales,hhuffman@example.org,(790)286-6022x96316,2023-10-14,13114.24,Transfer,EUR,Hunt-Woods,Healthcare,48828.74,69446.86,0,Completed,5739351314477614,539007575,2022-09-10
TXN-00000038,ACC-3376786,CUST-12502,Christopher Poole,tiffany03@example.com,976-909-7137,2020-07-14,550.5,Refund,JPY,Donovan-Davis,Travel,15409.37,26353.36,0,Pending,3109322332385552,140113126,2020-03-05
TXN-00000039,ACC-3189287,CUST-34142,Claire Gray,greenlori@example.com,(508)766-4786,2023-09-23,14868.21,Debit,USD,"Warren, Rose and Bell",Dining,11221.41,97754.19,0,Completed,2566175922372865,914073126,2021-03-01
TXN-00000040,ACC-2694981,CUST-35223,Melissa Wright,flynndavid@example.net,415-435-4318x7050,2021-04-11,3840.76,Debit,GBP,Case Inc,Dining,14990.74,23139.09,0,Pending,3593498551646497,993786805,2024-10-27
TXN-00000041,ACC-6104959,CUST-34336,Jason Taylor,,308-840-7493x834,2022-10-22,6176.1,Refund,GBP,Oneal Inc,Healthcare,13807.07,13497.8,1,Reversed,8015108138385320,726689236,2022-11-14
TXN-00000042,ACC-1914505,CUST-86459,David Todd,deborah28@example.com,240-529-1332x276,2021-12-31,6451.01,Debit,JPY,Williams-Spence,Online,9263.0,18212.9,0,Pending,5533690639058731,991611042,2021-04-20
TXN-00000043,ACC-3979023,CUST-60285,Catherine Martinez,hatfieldsara@example.com,806.543.8551x29986,2022-04-07,5343.49,Transfer,GBP,,Retail,41659.38,10119.4,0,Reversed,7391358370575035,786744780,2022-11-12
TXN-00000044,ACC-2765405,CUST-44943,Kelly Johnson,lauriesmith@example.com,(790)546-3507x7318,2022-08-26,909.15,Transfer,EUR,Donovan-Davis,Dining,45764.18,42232.42,1,Failed,3609572782345436,921073156,2022-03-17
TXN-00000045,ACC-4496008,CUST-83556,Julia Allen,brooke40@example.net,533-524-3350x69844,2023-04-03,6514.82,Refund,Euro,Williams-Spence,Utilities,15547.93,24099.2,0,Pending,5745431873619091,736074159,2020-11-04
TXN-00000046,ACC-8678370,CUST-94523,Lisa Martin,victor12@example.com,+1-906-864-4856,2023-11-30,4467.5,Refund,EUR,Wolfe-Holden,Travel,16607.12,9097.83,0,Failed,4481569577309987,452749546,2022-10-21
TXN-00000047,ACC-7928298,CUST-23273,Carolyn Curry,jennifer12@example.com,001-601-718-3606x37055,2026-07-12,$11236.37,Fee,EUR,Morgan and Sons,Online,11940.73,58197.36,1,Pending,9951226478032575,480624969,2024-10-28
TXN-00000048,ACC-7604374,CUST-77537,George Cook,hoodgregory@example.org,001-486-414-5094x138,2023-09-05,3369.44,Debit,JPY,David-Martinez,Grocery,47290.2,9246.94,0,Completed,9144441187653143,507527532,2020-04-30
TXN-00000049,ACC-1068231,CUST-22506,Patricia Brown,milleralbert@example.org,+1-219-305-0442x81645,2021-07-14,7073.22,Fee,CAD,Brown Group,Online,7885.33,83179.67,0,Completed,3292733455074407,226513239,2020-09-26
TXN-00000050,ACC-4296040,CUST-87614,Nicholas Graves,,(434)745-5658x2476,2024-04-22,14688.19,Transfer,JPY,Bishop PLC,Entertainment,48941.81,40424.96,0,Failed,3361369473665858,469874714,2024-03-17
TXN-00000051,ACC-2826783,CUST-70294,Shannon Kelly,danderson@example.com,6118600268,2020-10-11,6082.19,Fee,CAD,"Watts, Fuller and Morris",Healthcare,45816.64,19934.24,0,Pending,7478529692842309,817012115,2020-08-12
TXN-00000052,ACC-5901155,CUST-84338,Shawn Hamilton,silvabrandon@example.net,363.577.5557x943,2022-07-31,2723.24,Credit,CAD,"Wright, Marsh and Huffman",Online,20387.38,91193.28,0,Reversed,4673457963844615,744333516,2020-08-15
TXN-00000053,ACC-6870420,CUST-84870,Veronica Wallace,davisfrank@example.com,352.929.3862,2020-02-26,493.41,Credit,JPY,Oneal Inc,Travel,47774.59,11636.18,1,Failed,1555233241894709,348704170,2021-07-11
TXN-00000054,ACC-8034050,CUST-73180,Christina Barrett,xmorgan@example.org,+1-972-375-1315x8620,2023-09-07,14580.96,Debit,GBP,"Hampton, Morgan and Hayes",Retail,10379.93,91846.55,0,Completed,9937534624512017,176406146,2024-11-06
TXN-00000055,ACC-5211842,CUST-81356,Sarah Armstrong,thomas78@example.com,507-894-5393x4112,2020-07-05,6512.69,Credit,JPY,"Salazar, Henderson and Price",Healthcare,29825.02,4732.03,1,Completed,1408177961043646,141502816,2020-11-04
TXN-00000056,ACC-7995994,CUST-25606,Jason White,brandon96@example.com,001-920-764-7405x503,2022-04-07,7944.79,Fee,USD,Wolfe-Holden,Retail,41455.08,42305.68,1,Completed,5037578333652998,926468012,2021-02-14
TXN-00000057,ACC-6072816,CUST-82550,Steven Fitzgerald,morristracy@example.org,778-971-2372x873,2026-11-09,$3867.63,Debit,USD,"Baker, Pierce and Lynch",Utilities,44713.59,93518.96,0,Completed,7970200588322575,621477174,2024-09-10
TXN-00000058,ACC-7411540,CUST-17701,Sean Howard,edward65@example.org,001-899-890-9547x17741,2020-06-12,14088.2,Transfer,JPY,Gardner and Sons,Retail,29379.75,21335.48,0,Completed,4330321526016069,977154054,2020-02-03
TXN-00000059,ACC-1072278,CUST-31177,Michael Fox DDS,norrissarah@example.org,+1-260-208-0443x58351,2022-12-02,14945.38,Fee,USD,Morgan and Sons,Retail,14824.48,46929.11,0,Pending,9742852659006195,246799231,2022-09-19
TXN-00000060,ACC-4575673,CUST-67165,Ryan Johnson,bburton@example.org,001-945-630-0734x152,2022-09-02,14008.33,Fee,GBP,,Dining,3291.69,93014.18,0,Reversed,4072217549132305,140275218,2023-07-28
TXN-00000061,ACC-7357739,CUST-26005,Brittany Miller,amandasanchez@example.org,+1-943-680-1808x753,2024-05-21,7490.01,Fee,GBP,Hunt-Woods,Travel,30540.64,12008.68,0,Completed,6707565217842247,862342195,2021-05-01
TXN-00000062,ACC-7894842,CUST-88225,Wesley Hardy,johnsonevan@example.com,+1-474-658-6189x4206,2023-09-20,1236.48,Refund,EUR,Johnson Group,Retail,16443.53,33818.13,0,Failed,6642652337396294,288442075,2024-03-31
TXN-00000063,ACC-1033832,CUST-28209,Joyce Anderson,francokaren@example.org,(236)555-2205x384,2023-07-20,9839.99,Transfer,GBP,Case PLC,Retail,36849.48,89448.7,0,Failed,9529961368807978,519217514,2023-05-23
TXN-00000064,ACC-4706182,CUST-17648,Troy Garcia,zfrank@example.org,+1-754-267-2390x441,2020-03-03,4235.26,Transfer,USD,Martin Inc,Utilities,28295.76,95014.18,0,Reversed,6699758444116990,490908237,2024-05-12
TXN-00000065,ACC-4090890,CUST-68753,Ronald Jones,marysantiago@example.org,763-654-7658x488,2023-07-30,7573.23,Credit,JPY,Long PLC,Dining,44268.89,85322.04,0,Pending,6924763770121424,378088986,2022-02-22
TXN-00000066,ACC-2392561,CUST-48543,Monica Ortiz,colemanashley@example.org,001-848-367-3702x197,2024-10-25,13109.53,Transfer,USD,Anderson Group,Grocery,23558.75,66670.35,0,Reversed,3949527016639387,577900702,2024-05-12
TXN-00000067,ACC-7909697,CUST-63631,David Taylor,fturner@example.com,(725)251-4588,2023-01-13,$12120.5,Fee,USD,"Roberts, Joyce and Sanchez",Healthcare,43785.91,1339.61,0,Reversed,3221978633051126,606497318,2022-04-14
TXN-00000068,ACC-6891727,CUST-96455,Christopher Richards,carralejandro@example.org,2269390019,2020-11-26,2527.92,Debit,EUR,Long PLC,Entertainment,24825.86,12020.75,0,Pending,3539565112159782,398197430,2022-08-22
TXN-00000069,ACC-5985521,CUST-14187,Latoya Nelson,kevinatkins@example.net,9602771872,2020-01-03,4901.47,Transfer,USD,Roach-Brooks,Healthcare,7355.01,20067.87,0,Completed,4738711126672891,364435446,2021-12-11
TXN-00000070,ACC-6275068,CUST-35459,Ernest Lowe,elizabethjackson@example.com,(594)239-7422x5779,2021-10-14,10005.37,Refund,EUR,Hunt-Woods,Entertainment,41215.16,94623.58,0,Reversed,5739292768889017,697563674,2020-03-24
TXN-00000071,ACC-3141204,CUST-80837,Mathew Garcia,jamie23@example.org,(413)401-9386,2020-02-05,8982.12,Credit,USD,Castillo-Holmes,Retail,22950.24,24786.14,1,Failed,6397497459362264,758487666,2021-11-12
TXN-00000072,ACC-2604018,CUST-95955,Vincent Wright,mgarcia@example.com,961.447.5629,2021-06-21,13073.87,Transfer,JPY,Mccarthy-Hawkins,Dining,5875.51,76449.13,0,Failed,3111159638712392,788869169,2022-11-10
TXN-00000073,ACC-7468051,CUST-39099,Gerald Costa,frostsarah@example.net,001-844-546-9048x835,2024-03-28,10112.18,Transfer,JPY,Mccarthy-Hawkins,Grocery,46280.09,23103.99,0,Reversed,2890339025944635,984663831,2023-09-15
TXN-00000074,ACC-5018995,CUST-62756,Katherine Cervantes,htran@example.org,777-610-8696,2023-05-06,$9308.67,Fee,USD,Logan-White,Utilities,45197.5,45018.65,0,Failed,6643907770966014,849335149,2024-04-22
TXN-00000075,ACC-1011118,CUST-64932,Jack Johnson,jamespowell@example.com,001-714-307-7142x10543,2023-05-19,313.33,Refund,CAD,"Watts, Fuller and Morris",Grocery,37857.8,19470.67,0,Failed,3510951699008031,115862045,2022-02-11
TXN-00000076,ACC-8712448,CUST-41534,Brett Hall,patricia97@example.net,001-992-929-1080,2021-04-23,1000.63,Refund,GBP,"Warren, Rose and Bell",Online,1947.78,33824.39,0,Completed,7538621533578277,544931228,2020-07-09
TXN-00000077,ACC-6013718,CUST-87037,Jacqueline Lambert,chelsea91@example.net,+1-528-692-1769x603,2023-02-04,13896.69,Credit,EUR,Jacobs Inc,Travel,20621.86,56453.74,0,Failed,4185884675283633,787353394,2023-06-09
TXN-00000078,ACC-9370105,CUST-33638,Ronald Jordan MD,uhartman@example.com,550-718-6050,2021-10-23,12733.27,Credit,CAD,Morgan and Sons,Entertainment,14435.93,30828.1,0,Pending,5104385244835939,650060512,2020-01-10
TXN-00000079,,CUST-50345,Dr. Sherri Sherman,hubervictor@example.com,614-907-6703,2020-08-14,11502.0,Transfer,GBP,Donovan-Davis,Dining,13332.29,45982.55,1,Completed,6367975865386166,592349166,2021-07-31
TXN-00000080,ACC-3921201,CUST-75403,Jonathan Foster,timothyevans@example.com,562-525-0747x6219,2023-02-27,12687.75,Refund,USD,Hunt-Woods,Healthcare,29040.43,3850.63,0,Failed,8408200649184488,337966137,2023-09-07
TXN-00000081,ACC-5884127,CUST-57033,Emma Perez,longkrista@example.net,907.319.9257x511,2021-01-06,2166.41,Debit,USD,Logan-White,Entertainment,39638.82,67890.0,0,Reversed,4708175555791331,989207834,2020-10-13
TXN-00000082,ACC-2520785,CUST-68015,Scott Johnson,justinherrera@example.com,367-431-1017x66027,2020-11-19,9076.71,Credit,JPY,Morgan and Sons,Entertainment,19311.65,90577.28,1,Pending,3146143359482425,537303805,2022-08-08
TXN-00000083,,CUST-99718,Angela Hill DVM,richard10@example.org,001-634-781-0033,2021-05-08,8123.84,Fee,EUR,Bishop PLC,Dining,38339.48,90612.08,1,Pending,8779108174914625,235508256,2024-08-05
TXN-00000084,ACC-4869297,CUST-86856,Kenneth Rodriguez,icollins@example.org,365-598-1157,2020-11-17,$5324.59,Fee,USD,Castillo-Holmes,Utilities,1167.36,22329.43,0,Pending,3477173878482560,820936490,2023-04-13
TXN-00000085,ACC-4550837,CUST-58977,Michael Wade,john79@example.org,+1-306-939-6824,2023-06-21,731.71,Debit,JPY,Tucker Ltd,Online,28610.94,64655.71,0,Completed,1033195213554011,860996453,2023-04-06
TXN-00000086,ACC-4090461,CUST-54631,Mallory Lynn,egarcia@example.org,+1-358-425-0843x42112,2022-02-10,$9720.64,Transfer,JPY,"Wells, Anderson and Robinson",Utilities,21229.49,38301.5,0,Failed,1040836433364717,100505160,2021-08-08
TXN-00000087,ACC-4643930,CUST-27919,Nicole Jackson,greenlance@example.com,7546332125,2024-03-01,$11908.93,Debit,USD,Johnson Group,Online,16878.5,80576.34,0,Completed,5667643171745745,573619085,2024-02-12
TXN-00000088,ACC-2984236,CUST-90601,Thomas Hill,jodiwhite@example.org,381.805.0898x940,2021-08-28,4319.45,Transfer,EUR,"Roberts, Joyce and Sanchez",Retail,11875.67,2272.01,0,Reversed,9174801078938012,465052178,2020-04-29
TXN-00000089,ACC-8014394,CUST-18768,Julia Sanchez,,001-907-638-5153x4356,2020-09-13,5169.34,Credit,CAD,Hunt-Woods,Retail,32771.09,65162.16,0,Reversed,9969190076642215,955937129,2024-01-17
TXN-00000090,ACC-2910542,CUST-61221,Dwayne Lambert,robert74@example.com,263-878-0187x15130,2022-09-06,9374.4,Fee,JPY,Jones Ltd,Dining,7371.92,25344.74,0,Reversed,4350649350313219,262316070,2021-02-10
TXN-00000091,ACC-3605709,CUST-19386,Andrew Barnes,thompsondebbie@example.net,001-726-923-6181,2024-11-14,10259.49,Debit,JPY,"Watts, Fuller and Morris",Healthcare,5716.76,36217.84,0,Failed,7784461591582372,189256310,2021-08-08
TXN-00000092,ACC-1671799,CUST-13790,Jessica Dunlap,jamesmoreno@example.net,707-290-4755x23033,2024-03-08,12687.12,Debit,JPY,Walters-Walsh,Travel,30116.84,20063.95,1,Pending,4986219843943346,378800387,2022-06-14
TXN-00000093,ACC-7376999,CUST-59805,Darren Carroll,cobbkaren@example.net,(449)334-1582,2023-06-08,5169.02,Debit,EUR,Garcia-Freeman,Healthcare,32764.63,50718.28,0,Reversed,4304914177626611,712166727,2020-05-26
TXN-00000094,ACC-9787786,CUST-28279,Sharon Mullins,charles08@example.net,5987950665,2020-03-25,13235.83,Credit,usd,Oneal Inc,Healthcare,16711.77,21820.62,0,Reversed,6785368180117437,414431459,2021-01-11
TXN-00000095,ACC-7187441,CUST-18337,Brandon Nelson,johnsonjennifer@example.com,+1-952-286-0689x21744,2024-07-07,6466.52,Debit,JPY,Case Inc,Healthcare,43222.83,87805.61,0,Failed,4614507890116987,822243014,2022-03-14
TXN-00000096,ACC-7890951,CUST-44102,Darlene Barnett,gilbert49@example.net,998-897-6391x600,2022-12-19,4710.57,Refund,CAD,Morgan and Sons,Dining,37444.23,61745.91,0,Pending,5565571870222971,123278962,2021-09-20
TXN-00000097,ACC-7933616,CUST-85837,Angela Barnes,ejohnson@example.com,(895)906-3541,2020-09-22,6102.24,Fee,JPY,Logan-White,Dining,6473.53,1575.54,0,Failed,2799334218887909,922395677,2020-09-15
TXN-00000098,ACC-4008542,CUST-88286,Lynn Walker,kevin67@example.com,+1-798-318-6324x3350,2021-04-18,11260.53,Transfer,US Dollar,Hansen LLC,Online,43728.71,71385.23,1,Pending,5217541232682195,240649883,2023-03-24
TXN-00000099,ACC-7228508,CUST-10572,Beth Marshall,reyesrobert@example.net,352.905.6605x99932,2021-01-16,1654.15,Debit,EUR,Morgan and Sons,Online,21572.85,78475.48,0,Completed,5700665090738596,247038561,2022-02-04
TXN-00000100,ACC-1871401,CUST-70156,Jennifer Rowland,teresaschmidt@example.com,(390)228-7619x76813,2020-02-19,1743.7,Debit,EUR,"Parker, Crosby and Thomas",Entertainment,25747.5,70113.33,0,Failed,8418335949814163,577500910,2023-08-14
TXN-00000101,ACC-5525254,CUST-51504,Andrew Porter,antonio89@example.net,765.900.3190,2020-05-11,10967.18,Refund,JPY,Bishop PLC,Online,7381.03,6553.93,0,Reversed,4229766845993303,941623880,2024-07-12
TXN-00000102,ACC-3320595,CUST-29863,Shannon Moore,michelle20@example.net,+1-865-520-7748x6025,2027-01-24,7803.54,Credit,CAD,Morgan and Sons,Healthcare,9623.29,12169.55,0,Reversed,5147989843344352,908246350,2021-03-11
TXN-00000103,ACC-1384885,CUST-76782,Jordan Davis,dosborn@example.net,+1-972-673-2855x779,2020-12-06,0.0,Fee,CAD,Bishop PLC,Online,22293.62,58049.46,0,Pending,7245114264975148,751320617,2021-08-08
TXN-00000104,ACC-1403103,CUST-83700,Dawn Chase,frederick28@example.com,798-927-2606,2022-01-28,13359.84,Refund,GBP,,Grocery,43773.76,60340.0,0,Pending,3385528570552533,705510298,2021-03-16
TXN-00000105,ACC-1015341,CUST-20150,Christopher Mccarthy,hruiz@example.org,419-778-6804x2887,2020-08-09,$5613.32,Transfer,GBP,Bishop PLC,Retail,41155.94,96943.22,0,Failed,9693198398611799,332719721,2022-12-08
TXN-00000106,ACC-1599321,CUST-47465,Kelly Barron,heathermartinez@example.net,(941)457-1762x696,2021-06-06,11006.36,Credit,USD,Morgan and Sons,Grocery,28642.39,75975.88,0,Pending,2046671076467307,646503654,2021-11-27
TXN-00000107,ACC-9765100,CUST-93139,Wendy Taylor,wpatterson@example.com,751-546-5998x31430,2023-09-02,1138.18,Credit,GBP,Johnson LLC,Travel,10285.63,33687.1,0,Failed,8505623867719285,153621249,2021-02-07
TXN-00000108,ACC-7766517,CUST-77675,Joshua Sawyer,daniellucas@example.com,+1-830-958-6548x33880,2021-10-12,631.42,Refund,GBP,"Armstrong, Scott and Saunders",Retail,31777.67,11207.82,0,Reversed,9993529615912494,753048081,2020-03-17
TXN-00000109,ACC-2723145,CUST-63057,Brian Mitchell,sierra86@example.net,956.767.1752x409,2023-05-26,2321.94,Fee,CAD,"Parker, Crosby and Thomas",Travel,22860.78,91277.82,0,Completed,8142253027486993,654004494,2022-03-08
TXN-00000110,ACC-2892851,CUST-21165,Ashley Bauer,joshuaruiz@example.net,+1-595-200-4418x50060,2023-03-10,6364.69,Fee,JPY,Johnson Group,Online,39841.07,97798.83,0,Pending,4263361877802075,611627667,2024-11-16
TXN-00000111,ACC-9997784,CUST-37181,Terri Douglas,john63@example.com,861.556.5887x93404,2022-02-06,625.75,Debit,GBP,Jacobs Inc,Retail,15702.8,3780.3,1,Failed,7913636082043456,685653505,2022-01-26
TXN-00000112,ACC-9542620,CUST-31377,Deborah Gonzalez,hsmith@example.com,4338014118,2021-08-01,3704.08,Debit,JPY,Bishop PLC,Entertainment,47568.69,98751.5,0,Reversed,8896649117092090,831561186,2021-11-07
TXN-00000113,ACC-9134892,CUST-89266,Jessica Williams,trose@example.net,779-976-4670,2024-11-14,8091.62,Debit,USD,Oneal Inc,Travel,13018.07,43106.92,0,Pending,9444658643503581,986622781,2022-08-04
TXN-00000114,ACC-4724182,CUST-43429,Stephanie Smith,hollandamanda@example.org,3183260620,2021-10-10,2681.95,Credit,GBP,Wolfe-Holden,Grocery,37574.46,43569.75,0,Failed,3060948470725912,557917712,2020-08-06
TXN-00000115,ACC-4195110,CUST-11003,Aimee Reyes,vandrade@example.net,+1-709-804-2326x634,2023-01-01,14524.23,Fee,JPY,Johnson-Murray,Grocery,-276.88,54892.48,0,PENDING,3734892687848686,589498004,2024-03-09
TXN-00000116,ACC-9409792,CUST-48337,Andrew Garrett,warnerbrittany@example.com,(759)422-0213,2020-10-14,14251.92,Transfer,EUR,"Garcia, Mitchell and Wilson",Online,5355.66,88003.15,0,Reversed,4250101720071141,575222427,2020-06-18
