policy_id,claim_id,customer_id,customer_name,ssn,email,phone,address,zip_code,state,policy_type,coverage_amount,premium,deductible,policy_start,policy_end,claim_date,claim_amount,claim_status,adjuster,settlement_amount,last_updated
POL-0000011,CLM-00000011,CUST-53432,Abigail Miller,753-66-5692,nguyenelizabeth@example.org,001-227-260-3484x788,2457 Gregory Locks Suite 728,01424,CA,Commercial,62867.25,437.1,5497.82,2023-04-19,2027-04-18,2025-08-09,9571.15,Approved,John Meyer,,2025-03-24
POL-0000012,CLM-00000012,CUST-22300,Kyle Brown,537-98-5756,ryan80@example.com,001-697-984-2553x96116,0572 Harrington Roads,,GA,Life,1909325.28,19065.05,5757.9,2021-09-25,2026-09-24,2022-03-05,1193416.08,Settled,Phillip Sherman,945322.79,2025-05-24
POL-0000013,CLM-00000013,CUST-88254,Ronald Davis,102-79-2054,vsoto@example.org,757.539.4266x1099,53981 Shannon Crossing,63301,TX,Health,785282.26,1808.79,4950.8,2025-04-09,2027-04-09,2025-10-19,12312.22,Under Review,Phillip Sherman,,2025-01-11
POL-0000014,CLM-00000014,CUST-30509,Katherine Jones,850-62-4331,bergershannon@example.net,644.423.6659,36178 Horn Route,1234,AZ,Auto,480546.92,1402.75,5514.94,2025-03-07,2030-03-06,2025-07-04,337266.69,Settled,Ashley Mcclain,230390.44,2024-10-24
POL-0000015,,CUST-36065,Diane Hartman,336-89-3459,vroberts@example.org,+1-470-275-2218x5093,6702 Sanchez Parks Suite 149,80353,FL,Home,380080.07,5566.8,2767.4,2020-12-11,2022-12-11,2022-03-16,17289.23,Settled,Brian Hernandez,16415.37,2025-05-23
POL-0000016,CLM-00000016,CUST-73204,Karen Davila,264-66-9498,charleswilliam@example.org,+1-990-367-6727x06219,02014 Sims Village Apt. 514,79852,AZ,Commercial,1323024.44,17031.74,3079.12,2021-01-21,2024-01-21,2021-09-30,370528.13,Approved,Denise Green,,2023-02-12
POL-0000017,,CUST-61371,Kylie Rhodes,671-59-8362,nelsonmichael@example.net,715-831-7470x5908,75046 Roy Harbor Suite 514,17650,CO,Commercial,1845154.86,21577.32,1475.26,2021-09-26,2025-09-25,2022-04-15,112017.05,Approved,Jennifer Reid,,2024-07-23
POL-0000018,CLM-00000018,CUST-31666,Robert Thompson,295-67-7157,lindseyjanet@example.com,462-265-7712,002 Clarke Route Apt. 323,67244,TX,Commercial,250008.89,925.5,9772.94,2020-05-15,2024-05-14,2020-12-18,94533.01,Settled,Michelle Davis,89117.8,2025-01-01
POL-0000019,CLM-00000019,CUST-74716,Stephen Ray,677-13-2146,sanchezjohn@example.net,217.966.6416x3423,94544 Amber Springs,63485,FL,Commercial,1824829.68,26963.53,1967.75,2021-05-03,2023-05-03,2023-04-19,795095.06,Settled,Caleb West,776831.48,2022-09-06
POL-0000020,,CUST-66928,Mark Charles,589-19-1550,jennifersalinas@example.net,733.950.4936x77763,2605 Jones Crest,73439,FL,Home,442345.41,1870.1,7166.48,2023-07-29,2027-07-28,2023-11-08,282421.21,Settled,,238119.0,2025-08-04
POL-0000021,CLM-00000021,CUST-48090,Mark Jones,335-72-4002,kjoseph@example.net,001-992-384-2508x763,33892 Victor Pass,37030,NC,Life,640673.07,8638.59,5125.45,2021-07-22,2023-07-22,2022-01-10,66990.05,Settled,Jennifer Reid,59592.41,2024-07-18
POL-0000022,,CUST-44783,Tony Dickerson,351-33-1762,michele51@example.net,001-917-639-3169,279 Ford Skyway Apt. 918,95743,CO,Health,1735268.54,15671.39,5128.23,2024-04-02,2025-04-02,2024-05-02,492652.82,Under Review,Brett White,,2024-08-22
POL-0000023,CLM-00000023,CUST-66497,Amanda Chavez,917-94-8642,jamie63@example.net,601.899.6572,6885 Jennifer Mews Apt. 614,67674,NC,Life,590344.17,1380.26,9722.34,2022-10-07,2024-10-06,2024-03-16,431793.17,Rejected,Phillip Sherman,,2022-02-08
POL-0000024,CLM-00000024,CUST-72334,Danielle Stone,458-20-4491,thompsonmatthew@example.net,775-209-4221,744 Murphy Springs Apt. 986,13365,AZ,Home,1197512.0,16196.31,6901.64,2022-12-11,2024-12-10,2023-03-25,255373.88,Settled,John Meyer,207409.21,2025-12-17
POL-0000025,CLM-00000025,CUST-74836,Sheila Ho,676-88-2632,kerri40@example.com,777.790.5549x601,0588 Baker Gardens,30503,NC,Auto,1476186.54,18557.12,915.77,2020-10-30,2023-10-30,2023-02-27,120203.06,Settled,Eric Butler,72259.55,2026-03-14
POL-0000026,CLM-00000026,CUST-77218,Emily Villa,444-21-5298,sarah88@example.com,555.754.1326x0494,230 Sullivan Square,83444,CA,Auto,1983863.55,28110.67,5510.79,2021-12-04,2024-12-03,2023-06-22,1189250.86,Approved,Louis Moyer,,2025-10-07
POL-0000027,CLM-00000027,CUST-23006,Charles Livingston,148-69-6956,lclark@example.org,(264)507-6558,872 Rachel Bridge Apt. 234,12028,FL,Commercial,1696479.09,13378.96,8186.03,2021-02-15,2026-02-14,2024-02-14,941929.06,Submitted,,,2024-11-21
POL-0000028,CLM-00000028,CUST-96312,Daniel Atkinson,823-51-1775,crystal55@example.org,820-233-8337x9084,675 Irwin Terrace,,FL,Life,1238219.25,7890.24,2672.83,2022-01-11,2027-01-10,2023-04-13,163123.82,Approved,Brett White,,2022-10-11
POL-0000029,CLM-00000029,CUST-45268,Ryan Edwards,392-96-6992,qvillarreal@example.com,(911)317-1181x298,455 Colon Harbors Apt. 244,32557,WA,Health,1773415.77,9247.57,380.25,2023-12-14,2025-12-13,2025-03-08,262050.64,Rejected,Dr. Tina Reyes MD,,2024-07-31
POL-0000030,CLM-00000030,CUST-67712,Mary Ritter,252-40-7146,gravescourtney@example.net,375.746.2969x3472,421 Cooper Causeway,05156,AZ,Home,1096264.29,9605.58,5744.48,2021-08-28,2024-08-27,2022-05-11,289735.48,Rejected,Denise Green,,2025-07-22
POL-0000031,,CUST-65864,Erika Smith,285-61-8910,priceraven@example.org,+1-387-500-0790,850 Watson Union,02779,CO,Auto,1788934.85,3880.74,7021.69,2024-06-14,2027-06-14,2025-12-29,582697.71,Settled,Ashley Mcclain,456598.57,2025-12-25
POL-0000032,CLM-00000032,CUST-45942,Annette Ford,645-11-4563,sarah18@example.com,001-719-254-7468x47337,104 William Pine Apt. 222,97263,GA,Health,1443303.57,8247.37,6761.43,2023-03-23,2027-03-22,2026-02-24,196173.78,Submitted,,,2025-04-11
POL-0000033,CLM-00000033,CUST-90143,Natalie Dorsey,470-58-6453,brettperez@example.com,428.699.1182x76972,19308 Baker Mountain Apt. 945,18804,CA,Auto,614376.53,7198.62,2987.57,2022-09-05,2018-04-20,2024-08-19,12571.11,Under Review,Brian Hernandez,,2021-05-19
POL-0000034,CLM-00000034,CUST-80483,Robert Roth,329-51-7578,troy84@example.org,+1-638-588-3015,7052 Walker Isle,88561,CA,Life,1961981.4,7362.89,6035.36,2021-07-19,2022-07-19,2022-06-03,425883.0,Under Review,Louis Moyer,,2024-08-21
POL-0000035,CLM-00000035,CUST-76985,James Potts,749-61-4102,calebserrano@example.net,713-539-3983x43784,8344 Keith Junctions Suite 194,95314,GA,Commercial,173195.73,892.74,5518.15,2025-04-01,2026-04-01,2025-06-04,67612.01,Approved,Ashley Mcclain,,2024-04-13
POL-0000036,CLM-00000036,CUST-96653,Nathaniel Brown,913-43-4749,jsanford@example.org,8269989450,0576 Sanchez Grove Suite 346,62253,WA,Health,1082381.62,9016.36,6160.76,2022-05-12,2025-05-11,2024-07-22,339204.72,Submitted,,,2024-10-25
POL-0000037,CLM-00000037,CUST-14373,Brittney Lopez,654-96-5305,lindsay62@example.com,(914)976-8624x9826,93930 Jason Spring Suite 464,65013,WA,Home,880693.92,4062.43,6538.85,2024-12-20,2025-12-20,2025-07-13,297443.46,Submitted,,,2025-12-17
POL-0000038,,CUST-33533,Edward Whitaker,531-52-1821,emily47@example.net,600-905-6161x846,707 Conner Pines,49480,NC,Commercial,899244.95,10115.65,6152.73,2021-04-02,2024-04-01,2023-12-06,425681.86,Rejected,Louis Moyer,,2022-01-25
POL-0000039,CLM-00000039,CUST-97380,Logan Simmons,588-78-9380,cynthiabaker@example.org,+1-291-604-6238x85065,06048 Cunningham Key,63937,TX,Home,1016213.68,11429.64,5270.94,2021-08-21,2024-08-20,2022-04-18,260242.47,Rejected,Ashley Mcclain,,2024-08-31
POL-0000040,CLM-00000040,CUST-76502,Kenneth Mcbride,666-67-5683,rachel90@example.org,+1-847-885-9911x369,0933 Daniel Field,,IL,Home,815276.67,3688.17,2011.74,2022-04-25,2027-04-24,2025-08-08,50997.84,Settled,Phillip Sherman,43663.31,2024-07-16
POL-0000041,CLM-00000041,CUST-72522,Mr. Dennis Barnes,798-69-1382,welchalyssa@example.com,(424)597-9584,65675 Young Wall,02671,GA,Health,1531774.51,13436.59,6467.82,2021-11-08,2026-11-07,2023-08-29,359575.96,Rejected,Victor Morgan,,2024-12-14
POL-0000042,CLM-00000042,CUST-58922,Patricia Scott,982-63-5646,whiteemily@example.net,772.548.3037x5975,21329 Jorge Cape Apt. 722,77703,NY,Life,1108709.47,14519.69,7133.76,2021-12-15,2024-12-14,2023-08-01,450200.92,Under Review,Brian Hernandez,,2024-06-03
POL-0000043,CLM-00000043,CUST-29704,Gary Peterson,584-68-1839,omcpherson@example.org,869-532-8982x813,652 April Oval,49275,TX,Auto,1948485.6,24583.27,9855.61,2022-08-05,2023-08-05,2023-01-04,110659.52,Approved,Kenneth White,,2024-11-25
POL-0000044,CLM-00000044,CUST-80756,Cassie Robinson,158-57-3060,dominguezmarissa@example.net,811.837.4959,3244 Riley Valleys,63332,AZ,Commercial,807896.32,3185.67,689.6,2020-06-28,2024-06-27,2020-11-12,488906.97,Settled,,343181.81,2025-03-25
POL-0000045,CLM-00000045,CUST-63616,Rhonda Calderon,140-61-7583,yubrian@example.org,+1-352-719-7245x67106,921 Robertson River,02842,IL,Commercial,1634689.18,19825.1,8655.28,2023-11-29,2025-11-28,2024-02-23,552410.52,Approved,Jesse Tyler,,2025-03-22
POL-0000046,CLM-00000046,CUST-78251,Leslie Holloway,306-38-4714,cruzjohnny@example.net,347-246-1082x808,9266 Carolyn Burg,98378,TX,Auto,676114.84,6462.83,6595.89,2020-08-21,2024-08-20,2023-05-16,1858035.5253371662,Settled,Louis Moyer,353292.69,2025-12-18
POL-0000047,CLM-00000047,CUST-92598,Pamela Smith,278-11-7452,whitelarry@example.org,632-504-7132,636 Ruiz Tunnel,76012,GA,Home,656143.86,4057.81,2772.22,2022-05-02,2027-05-01,2024-10-03,303424.03,Under Review,Michelle Davis,,2024-08-01
POL-0000048,CLM-00000048,CUST-12810,Jennifer Ballard,255-78-2350,dawncruz@example.org,(204)571-7697,445 Williams Wells,27999,CA,Health,1833069.26,4132.84,8984.86,2024-02-15,2028-02-14,2024-03-16,1127539.33,Submitted,,,2025-04-19
POL-0000049,CLM-00000049,CUST-76601,Kevin Gibson,834-75-7652,charlesryan@example.org,+1-742-489-7826x381,882 Joshua Ridge,62068,IL,Auto,804381.58,8866.67,9209.47,2021-08-12,2025-08-11,2024-06-15,546403.04,Rejected,,,2025-04-22
POL-0000050,CLM-00000050,CUST-64262,Barbara Sullivan,453-10-3420,julie65@example.net,+1-384-310-6922x76419,781 Scott Springs,14664,CO,Auto,789044.71,11156.89,1827.61,2023-08-22,2024-08-21,2023-11-09,614753.43,Rejected,Ashley Mcclain,,2021-11-17
POL-0000051,,CUST-36388,David Williams,477-35-8479,jonesbrittany@example.org,483.361.8595x978,27492 Zimmerman Motorway Apt. 483,1234,WA,Commercial,316718.49,4669.23,1773.65,2020-05-28,2021-05-28,2021-01-05,206008.5,Settled,Phillip Sherman,129623.12,2024-12-28
POL-0000052,CLM-00000052,CUST-59278,Debra Sherman,271-46-3233,fmorales@example.org,+1-941-397-7031x272,7951 Tran Crossing,19810,CO,Life,933353.89,4446.33,492.58,2020-08-11,2025-08-10,2022-11-21,295099.05,Rejected,Ashley Mcclain,,2026-03-28
POL-0000053,CLM-00000053,CUST-48493,Ann Brown,415-60-1323,boyersherry@example.com,(976)884-5381x1595,10119 Thomas Springs Suite 509,70703,NC,Life,1766590.79,10331.45,5701.43,2023-04-18,2027-04-17,2025-07-06,62896.11,Rejected,Douglas Ferguson,,2026-02-11
POL-0000054,,CUST-81775,Robin Caldwell,877-35-2559,christina40@example.com,331-950-6894x649,16306 Sarah Mission Suite 329,19746,FL,Life,1153276.92,5644.35,8603.74,2024-04-15,2027-04-15,2026-02-15,449708.52,Approved,Jesse Tyler,,2025-11-11
POL-0000055,CLM-00000055,CUST-47580,Michael Ramirez,173-91-1488,rogerbaker@example.net,325-443-6444,8530 Alec Skyway Apt. 644,79487,NY,Home,1201105.51,7842.82,3157.15,2021-07-03,2024-07-02,2021-07-28,362619.16,Submitted,,,2025-04-10
POL-0000056,CLM-00000056,CUST-79239,Aaron Malone,801-83-4063,qhines@example.com,(302)607-9559,22916 Hernandez Burg Apt. 490,60161,NY,Commercial,567592.0,6434.04,6821.2,2023-07-30,2027-07-29,2023-08-13,332783.95,Rejected,Karen Miller,,2026-04-06
POL-0000057,CLM-00000057,CUST-47993,Alexander Moore,812-89-7768,margaret70@example.com,(580)866-4002x18642,556 Samantha Ways Suite 226,46625,NY,Auto,896052.19,6059.86,3719.04,2023-12-17,2025-12-16,2025-07-06,2284218.5937225446,Under Review,Jennifer Reid,,2023-06-30
POL-0000058,CLM-00000058,CUST-44412,Eric Davis,792-85-6701,dfranco@example.net,(784)894-5352,36916 William Plaza,95425,FL,Auto,290918.28,1305.4,9033.37,2020-06-27,2021-06-27,2020-12-02,153106.74,Settled,Dr. Tina Reyes MD,114237.59,2026-03-01
POL-0000059,CLM-00000059,CUST-73964,Joseph Decker,159-53-5750,erica06@example.org,001-785-292-3297,106 Baker Lodge,38714,IL,Auto,177125.69,1915.38,5977.21,2024-01-24,2025-01-23,2024-06-05,81146.49,Approved,Brett White,,2025-07-05
POL-0000060,,CUST-14925,Thomas Miller DVM,755-36-9263,mgardner@example.org,608-921-8131x5151,288 Benjamin Squares Apt. 639,30544,NC,Home,632964.14,1279.46,4657.4,2023-08-02,2026-08-01,2025-07-19,390233.99,Submitted,,,2026-04-02
POL-0000061,CLM-00000061,CUST-27225,Tristan Alvarez,168-28-2627,jfarmer@example.org,631-557-5945x113,60771 Chad Common Suite 376,28596,CA,Health,1676281.68,9591.54,5527.99,2021-09-27,2023-09-27,2021-11-03,851808.14,Submitted,,,2026-03-25
POL-0000062,CLM-00000062,CUST-78978,Natalie Christensen,391-80-8071,pfigueroa@example.net,292-266-7503x15103,7200 Megan Fields Apt. 723,95384,WA,Auto,948339.81,4057.84,6857.67,2021-05-08,2026-05-07,2024-03-05,109538.39,Submitted,,,2024-11-09
POL-0000063,CLM-00000063,CUST-28637,Yvonne Smith,287-31-1903,danielle24@example.com,612-775-4365x426,373 Coleman Plaza,74311,WA,Auto,1418141.14,8057.52,1172.62,2021-05-12,2024-05-11,2024-04-14,1067591.53,Settled,Caleb West,648107.84,2025-12-25
POL-0000064,CLM-00000064,CUST-94492,Shawn Phillips,521-83-1539,michelle10@example.org,622-602-1585x365,9296 Young Mill,96612,AZ,Health,1000776.51,12841.65,2699.06,2023-03-29,2027-03-28,2025-01-20,480859.13,Under Review,Renee Patel,,2025-03-04
POL-0000065,CLM-00000065,CUST-34629,Daniel Hill,675-90-6468,mgreen@example.net,611.561.1433x931,98388 Gonzalez Hill Apt. 630,12623,TX,Home,292021.74,3911.54,6447.86,2022-10-19,2026-10-18,2023-05-26,56223.01,Settled,Ashley Mcclain,40574.25,2025-01-17
POL-0000066,CLM-00000066,CUST-68544,Amanda Wolf,500-26-8571,nguyenanna@example.net,(690)337-1390x76838,361 Daniel Fords,ABCDE,NY,Life,56176.05,376.68,2329.44,2024-01-22,2028-01-21,2026-01-15,13828.86,Under Review,Kenneth White,,2025-08-02
POL-0000067,CLM-00000067,CUST-61728,Timothy Johnson,880-30-3088,nnavarro@example.org,955-825-6498,8854 Hernandez Club Apt. 170,48430,WA,Health,1686758.15,12706.62,7897.41,2024-05-13,2028-05-12,2025-07-31,414296.66,Settled,Brian Hernandez,336325.02,2026-03-07
POL-0000068,CLM-00000068,CUST-40394,James Goodwin,977-10-2168,tamara77@example.com,001-323-205-0305x1000,3258 Joe Mall,25986,IL,Home,478910.72,2555.44,4956.77,2024-09-20,2028-09-19,2025-12-17,286047.42,Under Review,Jennifer Reid,,2026-04-03
POL-0000069,CLM-00000069,CUST-21152,Johnathan Barnes,654-50-3710,christophersims@example.net,246-483-8819,4830 White Via Apt. 739,95919,CA,Life,1065158.09,10228.37,1274.93,2022-03-16,2024-03-15,2022-06-02,676567.73,Approved,Ashley Mcclain,,2024-08-20
POL-0000070,CLM-00000070,CUST-14699,Steve Jones,472-15-9837,selliott@example.org,370-938-4868,9145 Marcus Dale Apt. 319,30387,CA,Commercial,1387361.86,13369.92,8076.58,2021-10-01,2022-10-01,2021-12-30,3729253.766636266,Approved,John Meyer,,2026-02-04
POL-0000071,,CUST-79339,Ryan Bell,592-61-9254,nicholsalyssa@example.net,001-301-676-4717x94405,55522 Isaiah Mill Suite 253,22518,IL,Commercial,1330581.4,9446.89,3441.72,2022-06-16,2023-06-16,2023-03-19,892895.14,Submitted,,,2024-11-19
POL-0000072,CLM-00000072,CUST-78494,David Flynn,460-69-6497,ortizbrent@example.net,(200)485-0903x01862,85428 Christopher Place Suite 269,78359,WA,Home,319429.79,4133.1,8889.5,2021-07-05,2024-07-04,2024-03-14,89899.66,Rejected,Brian Hernandez,,2024-08-22
POL-0000073,,CUST-89036,Jody Foster,315-28-6891,brandon88@example.org,(795)863-3714x4118,300 Thompson Stravenue Apt. 384,84683,FL,Home,1166819.62,14843.63,3293.32,2024-04-23,2026-04-23,2025-02-21,461421.12,Approved,John Meyer,,2024-10-30
POL-0000074,,CUST-60512,Tammy Sanders,159-88-6821,johngrimes@example.org,216-976-4507x864,7747 Erin Inlet Apt. 272,36923,FL,Life,1717635.44,14805.36,1247.54,2022-04-25,2024-04-24,2023-05-31,1048513.17,Under Review,John Meyer,,2024-10-31
POL-0000075,CLM-00000075,CUST-12851,Brooke Jackson,848-99-4643,virginiawagner@example.org,(459)946-7573x9540,1417 Ronald Stream,96014,WA,Home,1099540.88,14794.75,4631.68,2021-05-05,2026-05-04,2022-01-03,66693.55,Approved,,,2026-02-14
POL-0000076,CLM-00000076,CUST-60233,Timothy Lynch,828-37-7144,pricebrandon@example.org,+1-702-242-4598x9478,15862 Reeves Expressway Apt. 319,11107,FL,Life,361866.12,5402.94,9218.78,2021-02-14,2022-02-14,2022-01-18,14778.91,Settled,Victor Morgan,12646.65,2025-02-17
POL-0000077,CLM-00000077,CUST-71332,Deborah Olson,765-65-4566,glong@example.org,+1-724-506-5421x202,80392 Wade Stream,21302,CA,Home,444003.84,2736.69,5479.03,2022-09-30,2024-09-29,2024-09-27,165918.69,Approved,Renee Patel,,2025-01-03
POL-0000078,CLM-00000078,CUST-92502,Jeanette Juarez,914-59-2111,nholmes@example.org,(962)924-5860x4885,88435 Michelle Via Apt. 992,78260,WA,Commercial,913537.25,8596.19,2386.15,2022-11-23,2024-11-22,2024-08-02,587503.09,Approved,Jennifer Reid,,2024-12-23
POL-0000079,CLM-00000079,CUST-23486,Jennifer Snyder,374-95-6111,ericolson@example.org,001-208-966-0054,6279 Delgado Crescent Apt. 869,22944,FL,Commercial,1427781.69,12581.93,7179.85,2024-09-02,2026-09-02,2025-12-30,860350.76,Approved,,,2024-07-30
POL-0000080,CLM-00000080,CUST-13091,Eduardo Silva,424-60-2287,todd89@example.net,(876)377-0740,0638 Coffey Run Suite 245,23049,TX,AUTO,940248.92,13464.12,3692.27,2021-10-12,2026-10-11,2023-02-14,2431754.264482295,Submitted,,,2026-04-09
POL-0000081,CLM-00000081,CUST-26072,Ariel Bird,675-76-7576,marshallerin@example.net,8594136185,86114 Wilson Tunnel,51046,CO,Home,96302.97,1301.28,1092.34,2022-11-12,2023-11-12,2022-12-23,71720.94,Settled,Wendy Smith,58173.02,2025-12-07
POL-0000082,CLM-00000082,CUST-26524,Melissa Perry,706-68-1128,mrodriguez@example.com,5237231422,014 Johnson Valleys Apt. 447,68827,TX,Life,137625.4,1853.64,5193.37,2024-04-15,2025-04-15,2024-06-04,8010.02,Settled,Brett White,5947.03,2025-01-15
POL-0000083,,CUST-16365,Eugene Ellis,483-91-2133,calvin13@example.org,(583)848-4109,482 David Plain,48179,TX,Home,345672.66,3499.88,9853.6,2022-02-19,2026-02-18,2024-04-30,241482.52,Under Review,Randy Brown,,2025-03-04
POL-0000084,CLM-00000084,CUST-63144,Thomas Moore,997-80-3054,denisecamacho@example.com,001-503-346-2824x4668,113 Armstrong Fort,16382,TX,Commercial,30902.62,391.1,3149.33,2023-03-12,2028-03-10,2024-04-12,6641.19,Approved,Denise Green,,2022-09-02
POL-0000085,CLM-00000085,CUST-32690,Taylor Lee V,608-23-1527,smithmatthew@example.org,621-832-9972x6793,5931 Andrew Falls,80798,AZ,Life,1168123.21,4249.74,9513.56,2021-07-08,2022-07-08,2022-05-07,1247.66,Under Review,Louis Moyer,,2025-11-02
POL-0000086,CLM-00000086,CUST-14683,Susan Sullivan,926-35-5903,vpeterson@example.org,+1-413-638-2244,249 Ariel Green Suite 363,62910,NC,Commercial,1665255.1,15533.44,8278.38,2024-10-21,2029-10-20,2025-04-16,160522.8,Under Review,Ashley Mcclain,,2025-08-21
POL-0000087,CLM-00000087,CUST-20700,Ryan Santos,553-27-2288,danielrichard@example.org,(921)717-8643x44772,287 Michele Light,26217,CA,Auto,825328.07,10667.88,4102.24,2023-01-11,2026-01-10,2024-10-10,165980.15,Under Review,Caleb West,,2025-10-16
POL-0000088,CLM-00000088,CUST-95452,Robert Leonard,168-82-9804,rojasjeffery@example.com,(688)658-2225x34236,11323 Roberson Brooks Apt. 135,13379,AZ,Commercial,1054787.0,14993.3,2290.07,2024-01-05,2025-01-04,2024-08-17,326016.81,Rejected,Jennifer Reid,,2024-07-27
POL-0000089,CLM-00000089,CUST-81726,Sharon Cooper,209-38-2558,thompsonstephen@example.net,667.467.0869,8028 Zachary Course,02997,FL,Auto,608810.8,3531.07,4571.57,2022-11-06,2025-11-05,2025-01-31,143836.09,Settled,Dr. Tina Reyes MD,119681.42,2024-12-23
POL-0000090,CLM-00000090,CUST-12800,Nicholas Price,450-45-1103,christinebeck@example.org,001-621-769-1388x53208,470 Alexander Key Apt. 068,52328,AZ,Home,519261.08,2754.16,8879.31,2022-04-10,2024-04-09,2022-04-14,43013.86,Approved,,,2025-10-06
POL-0000091,CLM-00000091,CUST-45391,Gary Cohen,296-62-9983,villapeggy@example.net,7646136797,3194 Christina Mountain,78279,TX,Life,1673864.09,5265.89,8807.42,2021-10-08,2026-10-07,2025-08-01,515058.59,Under Review,Jesse Tyler,,2026-03-10
POL-0000092,CLM-00000092,CUST-12954,Sherry Garza,938-66-9715,richardmclaughlin@example.com,+1-734-831-8021x3092,631 Powers Union Suite 438,88873,IL,Auto,570092.16,6079.28,5300.83,2022-08-06,2027-08-05,2025-02-28,296510.67,Rejected,Victor Morgan,,2025-03-11
POL-0000093,CLM-00000093,CUST-73368,Amanda Wilson,487-97-1094,khall@example.com,001-611-589-9618,79307 Bradley Mews,53071,FL,Health,609626.12,5609.84,780.18,2020-09-02,2025-09-01,2024-10-05,86301.55,Under Review,Randy Brown,,2025-01-14
POL-0000094,CLM-00000094,CUST-47188,Matthew Thomas,360-44-6748,jason83@example.net,689.724.0911x16091,99654 Clifford Mission,42255,TX,Commercial,261726.57,653.56,4540.52,2021-12-03,2025-12-02,2022-11-09,37109.14,Settled,Brian Hernandez,31775.49,2024-10-11
POL-0000095,CLM-00000095,CUST-64510,Katherine Guzman,313-45-5837,sharon00@example.net,2733590074,66649 Shawn View,99664,NY,Home,1467808.47,4897.9,6908.2,2020-08-16,2021-08-16,2020-12-24,9220.41,Settled,Renee Patel,6477.14,2026-03-29
POL-0000096,CLM-00000096,CUST-34287,Peter Holden,930-39-8539,fbarnes@example.org,978.494.6529x90436,1756 Mills Manor,95223,NY,Auto,894280.72,4238.7,2766.41,2024-10-06,2027-10-06,2025-02-16,520097.74,Approved,Denise Green,,2024-09-15
POL-0000097,CLM-00000097,CUST-76806,Jordan Collins,959-93-4175,deborahlopez@example.net,453-476-0775x562,5277 Malone Underpass,41790,FL,Life,1955493.29,26735.01,8524.88,2023-09-11,2025-09-10,2024-08-17,1542056.77,Rejected,,,2025-05-25
POL-0000098,CLM-00000098,CUST-68450,Douglas Collins,367-93-7480,manningjesse@example.org,+1-423-375-5876x76017,98396 Melinda Corners,999,CO,Health,62268.07,280.33,5298.77,2024-09-02,2027-09-02,2025-09-01,47682.5,Under Review,Phillip Sherman,,2025-01-02
